Name,Price,Review_Summary,Number_of_Reviews,Release_Date,Developers,Genres,Supported_VR,Steam_ID,Average_Review,Operating_Systems,Release_Year
War Thunder,0.0,Mostly Positive,560589,"Aug 15, 2013",Gaijin Entertainment,"Action, Massively Multiplayer, Simulation, Free To Play",True,236390,Mostly Positive,"Windows, macOS, Linux",2013
Phasmophobia,19.99,Overwhelmingly Positive,587803,"Sep 18, 2020",Kinetic Games,"Action, Indie, Early Access",True,739630,Overwhelmingly Positive,Windows,2020
Half-Life: Alyx,20.39,Overwhelmingly Positive,80960,"Mar 23, 2020",Valve,"Action, Adventure",True,546560,Overwhelmingly Positive,Windows,2020
VRChat,0.0,Mostly Positive,228131,"Feb 1, 2017",VRChat Inc.,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",True,438100,Mostly Positive,Windows,2017
Subnautica,29.99,Overwhelmingly Positive,261656,23 janv. 2018,Unknown Worlds Entertainment,"Aventure, Indépendant",True,264710,Overwhelmingly Positive,"Windows, macOS",
Microsoft Flight Simulator 40th Anniversary Edition,69.99,Mostly Positive,59754,"17 Aug, 2020",Asobo Studio,Simulation,True,1250410,Mostly Positive,Windows,2020
Assetto Corsa,19.99,Very Positive,106848,"Dec 19, 2014",Kunos Simulazioni,"Indie, Racing, Simulation, Sports",True,244210,Very Positive,Windows,2014
F1® 24,28.0,Mixed,5119,"31 May, 2024",Codemasters,"Racing, Sports",True,2488620,Mixed,Windows,2024
HITMAN World of Assassination,29.99,Very Positive,30015,"Jan 20, 2022",IO Interactive A/S,"Action, Adventure",True,1659040,Very Positive,Windows,2022
Tabletop Simulator,19.99,Overwhelmingly Positive,40494,"Jun 5, 2015",Berserk Games,"Casual, Indie, RPG, Simulation, Strategy",True,286160,Overwhelmingly Positive,"Windows, macOS, Linux",2015
No Man's Sky,59.99,Mostly Positive,245225,"Aug 12, 2016",Hello Games,"Action, Adventure",True,275850,Mostly Positive,"Windows, macOS",2016
Beat Saber,29.99,Overwhelmingly Positive,67139,"May 21, 2019",Beat Games,Indie,True,620980,Overwhelmingly Positive,Windows,2019
Metro Awakening,34.99,Mostly Positive,1138,"7 Nov, 2024",Vertigo Games,"Action, Adventure",True,2669410,Mostly Positive,Windows,2024
Blade and Sorcery,29.99,Overwhelmingly Positive,51246,"Jun 17, 2024",WarpFrog,"Action, Adventure, Indie, RPG, Simulation",True,629730,Overwhelmingly Positive,Windows,2024
Elite Dangerous,19.99,Mostly Positive,72917,"Apr 2, 2015",Frontier Developments,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",True,359320,Mostly Positive,Windows,2015
DCS World Steam Edition,0.0,Very Positive,34900,"Aug 2, 2013",Eagle Dynamics SA,"Simulation, Free To Play",True,223750,Very Positive,Windows,2013
Assetto Corsa Competizione,39.99,Very Positive,24092,"May 29, 2019",Kunos Simulazioni,"Racing, Simulation, Sports",True,805550,Very Positive,Windows,2019
